[01:28:53] [main/INFO] Extra: []
[01:28:53] [main/INFO] Running with arguments: [--userProperties, {}, --assetsDir, C:/Users/SuperSkidder/.gradle/caches/minecraft/assets, --assetIndex, 1.8, --accessToken{REDACTED}, --version, 1.8.9, --tweakClass, net.minecraftforge.fml.common.launcher.FMLTweaker, --tweakClass, net.minecraftforge.gradle.tweakers.CoremodTweaker]
[01:28:53] [main/INFO] Loading tweak class name net.minecraftforge.fml.common.launcher.FMLTweaker
[01:28:53] [main/INFO] Using primary tweak class name net.minecraftforge.fml.common.launcher.FMLTweaker
[01:28:53] [main/INFO] Loading tweak class name net.minecraftforge.gradle.tweakers.CoremodTweaker
[01:28:53] [main/INFO] Calling tweak class net.minecraftforge.fml.common.launcher.FMLTweaker
[01:28:53] [main/INFO] Forge Mod Loader version 11.15.1.2318 for Minecraft 1.8.9 loading
[01:28:53] [main/INFO] Java is OpenJDK 64-Bit Server VM, version 1.8.0_332, running on Windows 10:amd64:10.0, installed at C:\Users\SuperSkidder\.jdks\corretto-1.8.0_332\jre
[01:28:53] [main/INFO] Managed to load a deobfuscated Minecraft name- we are in a deobfuscated environment. Skipping runtime deobfuscation
[01:28:53] [main/INFO] Found a command line coremod : cn.hanabi.loader.injection.MixinLoaderPlugin
[01:28:53] [main/WARN] The coremod cn.hanabi.loader.injection.MixinLoaderPlugin does not have a MCVersion annotation, it may cause issues with this version of Minecraft
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: org.spongepowered.asm.mixin.throwables.MixinException: Environment conflict, mismatched versions or you didn't call MixinBootstrap.init()
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at org.spongepowered.asm.mixin.MixinEnvironment.<init>(MixinEnvironment.java:921)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at org.spongepowered.asm.mixin.MixinEnvironment$Phase.getEnvironment(MixinEnvironment.java:149)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at org.spongepowered.asm.mixin.MixinEnvironment.getEnvironment(MixinEnvironment.java:1355)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at org.spongepowered.asm.mixin.MixinEnvironment.init(MixinEnvironment.java:1338)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at org.spongepowered.asm.launch.MixinBootstrap.start(MixinBootstrap.java:152)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at org.spongepowered.asm.launch.MixinBootstrap.init(MixinBootstrap.java:116)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at cn.hanabi.loader.injection.MixinLoaderPlugin.<init>(MixinLoaderPlugin.kt:17)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at sun.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:62)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:45)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at java.lang.reflect.Constructor.newInstance(Constructor.java:423)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at java.lang.Class.newInstance(Class.java:442)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at net.minecraftforge.fml.relauncher.CoreModManager.loadCoreMod(CoreModManager.java:577)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at net.minecraftforge.fml.relauncher.CoreModManager.handleLaunch(CoreModManager.java:244)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at net.minecraftforge.fml.relauncher.FMLLaunchHandler.setupHome(FMLLaunchHandler.java:95)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at net.minecraftforge.fml.relauncher.FMLLaunchHandler.setupClient(FMLLaunchHandler.java:72)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at net.minecraftforge.fml.relauncher.FMLLaunchHandler.configureForClientLaunch(FMLLaunchHandler.java:34)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at net.minecraftforge.fml.common.launcher.FMLTweaker.injectIntoClassLoader(FMLTweaker.java:119)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at net.minecraft.launchwrapper.Launch.launch(Launch.java:115)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at net.minecraft.launchwrapper.Launch.main(Launch.java:28)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at java.lang.reflect.Method.invoke(Method.java:498)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at net.minecraftforge.gradle.GradleStartCommon.launch(GradleStartCommon.java:97)
